elapsed_s,unix_ns,request_ms,graphics_mhz,memory_mhz,voltage_mv,power_w,temperature_c,utilization_pct,throttle_mask
19.602399049500036,1790456293734163505,3.815851000126713,2805,16801,915,258.136,56.0,99,4
19.70250205350021,1790456293834321814,4.039999000269745,2805,16801,915,258.136,56.0,99,4
19.80238370999996,1790456293934111376,3.7799120000272524,2805,16801,915,258.136,56.0,99,4
19.9022873910003,1790456294033917408,3.5852719997819804,2805,16801,915,258.136,56.0,99,4
20.002348081000036,1790456294134030328,3.7082919998283614,2805,16801,915,258.136,56.0,99,4
20.102342505999786,1790456294234028578,3.69756200007032,2805,16801,915,266.917,56.0,99,4
20.202554615500503,1790456294334154497,4.095699000117747,2805,16801,915,266.917,56.0,99,4
20.30246044149999,1790456294434214377,3.833590999875014,2805,16801,915,266.917,56.0,99,4
20.402771624000252,1790456294534442966,3.6684219999187917,2805,16801,915,266.917,56.0,99,4
20.5025745060002,1790456294634504396,4.159697999966738,2805,16801,915,266.917,56.0,99,4
20.602512577000198,1790456294734270098,3.938679999919259,2805,16801,915,265.699,55.0,94,4
20.703846577000604,1790456294836985648,6.60835999997289,2805,16801,915,265.699,55.0,94,4
20.802356184000473,1790456294934045771,3.697632000239537,2805,16801,915,265.699,55.0,94,4
20.90274790650028,1790456295034410288,3.619563000029302,2805,16801,915,265.699,55.0,94,4
21.00237785950003,1790456295134087101,3.744681000171113,2805,16801,915,265.699,55.0,94,4
21.10236194500021,1790456295234053892,3.709271999923658,2805,16801,915,258.36,56.0,99,4
21.202348465999876,1790456295334058982,3.7277320002431225,2805,16801,915,258.36,56.0,99,4
21.30239014550034,1790456295434125162,3.7865710000914987,2805,16801,915,258.36,56.0,99,4
21.402266632500414,1790456295533900914,3.561222999906022,2805,16801,915,258.36,56.0,99,4
